|NodeNo|     |WITH ACO Scene|       |Packets sent|         |Best route|
     9                    3                    2                    7
     9                    3                    3                    4
     9                    3                    4                    8
     9                    3                    5                    5
     9                    3                    6                    6
     9                    3                    7                    6
     9                    3                    8                    2
     9                    3                    9                    2
     9                    3                   10                    6
     9                    3                   11                    5
     9                    3                   12                    1
     9                    3                   13                    4
     9                    3                   14                    4
     9                    3                   15                    4
     9                    3                   16                    7
     9                    3                   17                    7
     9                    3                   18                    7
     9                    3                   19                    8
     9                    3                   20                    8
     9                    3                   21                    8
     9                    3                   22                    8
     9                    3                   23                    5
     9                    3                   24                    5
     9                    3                   25                    5
     9                    3                   26                    5
     9                    3                   27                    5
     9                    3                   28                    1
     9                    3                   29                    1
     9                    3                   30                    1
     9                    3                   31                    1
     9                    3                   32                    1
     9                    3                   33                    1
     9                    3                   34                    1
     9                    3                   35                    2
     9                    3                   36                    2
     9                    3                   37                    2
     9                    3                   38                    2
     9                    3                   39                    2
     9                    3                   40                    2
     9                    3                   41                    7
     9                    3                   42                    7
     9                    3                   43                    3
     9                    3                   44                    3
     9                    3                   45                    3
     9                    3                   46                    6
     9                    3                   47                    6
     9                    3                   48                    6
     9                    3                   49                    6
     9                    3                   50                    6
     9                    3                   51                    6
     9                    3                   52                    6
     9                    3                   53                    6
     9                    3                   54                    6
     9                    3                   55                    6
     9                    3                   56                    6
     9                    3                   57                    6
     9                    3                   58                    6
     9                    3                   59                    6
     9                    3                   60                    6
     9                    3                   61                    6
     9                    3                   62                    6
     9                    3                   63                    6
     9                    3                   64                    4
     9                    3                   65                    4
     9                    3                   66                    4
     9                    3                   67                    4
     9                    3                   68                    1
     9                    3                   69                    1
     9                    3                   70                    1
     9                    3                   71                    1
     9                    3                   72                    1
     9                    3                   73                    2
